Catálogo de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idGrupo,DscGrupo,idProducto,idProductoAlterno,IdProductoProveedor,IdProductosClasificacion,Dsc,DscClasificacion,DscClasificacionA,SustanciaActiva,Ubicacion,Caracteristicas,ClkUMedida,ClkUMedidacontenido,PrecioCompra,PrecioLista,DescuentoContado,DescuentoCredito,DescuentoEspecialContado,DescuentoEspecialCredito,PrecioVenta,PrecioVenta2,PrecioVenta3,Notas,DescuentoMayoreo,CantidadMayoreo,Orden,IdRestaurante,IdProductoAlterno1,IndR,Status,Moneda,NombreImpresora_PV1,NombreImpresora_PV2,NombreImpresora_PV3,c_ClaveProdServ,c_ClaveUnidad,TasaIVA,ObjetoImpuesto
3,3.-C - D,53,53,53,1,CACAHUATE,1.-PAN,1.-PAN,,,,1,1,0,8,0,0,0,0,8,8,8,0,0,0,53,1,53,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,54,54,54,1,CALVO DE COCO,1.-PAN,1.-PAN,,,,1,1,0,8,0,0,0,0,8,8,8,0,0,0,54,1,54,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,55,55,55,1,CALVO DE GRANILLO DE COLORES,1.-PAN,1.-PAN,,,,1,1,0,8,0,0,0,0,8,8,8,0,0,0,55,1,55,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,56,56,56,1,CAMPECHANA,1.-PAN,1.-PAN,,,,1,1,0,7,0,0,0,0,7,7,7,0,0,0,56,1,56,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,57,57,57,1,CANASTA DE FRUTAS,1.-PAN,1.-PAN,,,,1,1,0,17,0,0,0,0,17,17,17,0,0,0,57,1,57,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,58,58,58,1,CANASTA DE PIÑA,1.-PAN,1.-PAN,,,,1,1,0,9,0,0,0,0,9,9,9,0,0,0,58,1,58,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,59,59,59,1,CAZUELA DE MANTEQUILLA,1.-PAN,1.-PAN,,,,1,1,0,15,0,0,0,0,15,15,15,0,0,0,59,1,59,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,60,60,60,1,CHICHARRON,1.-PAN,1.-PAN,,,,1,1,0,8,0,0,0,0,8,8,8,0,0,0,60,1,60,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,61,61,61,1,CHINO,1.-PAN,1.-PAN,,,,1,1,0,12,0,0,0,0,12,12,12,0,0,0,61,1,61,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,62,62,62,1,CHIRIMOYA,1.-PAN,1.-PAN,,,,1,1,0,7,0,0,0,0,7,7,7,0,0,0,62,1,62,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,63,63,63,1,CHOCOFLAN,1.-PAN,1.-PAN,,,,1,1,0,25,0,0,0,0,25,25,25,0,0,0,63,1,63,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,64,64,64,1,CHURRO FRESCO,1.-PAN,1.-PAN,,,,1,1,0,6,0,0,0,0,6,6,6,0,0,0,64,1,64,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,65,65,65,1,CHURRO FRIO,1.-PAN,1.-PAN,,,,1,1,0,3,0,0,0,0,3,3,3,0,0,0,65,1,65,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,180,180,180,1,CHURRO OFERTA,1.-PAN,1.-PAN,,,,1,1,0,10,0,0,0,0,10,10,10,0,0,0,66,1,180,0,Activo,MXN.-MONEDA NACIONAL,,,,24111502,H87,16,2
3,3.-C - D,66,66,66,1,CONCHA AMARILLA,1.-PAN,1.-PAN,,,,1,1,0,7,0,0,0,0,7,7,7,0,0,0,66,1,66,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,67,67,67,1,CONCHA AMARILLA CON BOLITA,1.-PAN,1.-PAN,,,,1,1,0,7,0,0,0,0,7,7,7,0,0,0,67,1,67,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,68,68,68,1,CONCHA BLANCA,1.-PAN,1.-PAN,,,,1,1,0,7,0,0,0,0,7,7,7,0,0,0,68,1,68,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,69,69,69,1,CONCHA CAFE,1.-PAN,1.-PAN,,,,1,1,0,7,0,0,0,0,7,7,7,0,0,0,69,1,69,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,81,81,81,1,CONCHA DE CANELA,1.-PAN,1.-PAN,,,,1,1,0,9,0,0,0,0,9,9,9,0,0,0,69,1,81,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,82,82,82,1,CONCHA DE CANELA GRANDE,1.-PAN,1.-PAN,,,,1,1,0,35,0,0,0,0,35,35,35,0,0,0,69,1,82,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,70,70,70,1,CUADRO DE COCO,1.-PAN,1.-PAN,,,,1,1,0,9,0,0,0,0,9,9,9,0,0,0,70,1,70,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,71,71,71,1,CUBILETE,1.-PAN,1.-PAN,,,,1,1,0,12,0,0,0,0,12,12,12,0,0,0,71,1,71,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,72,72,72,1,CUERNO,1.-PAN,1.-PAN,,,,1,1,0,8,0,0,0,0,8,8,8,0,0,0,72,1,72,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,73,73,73,1,CUERNO DE HIGO,1.-PAN,1.-PAN,,,,1,1,0,13,0,0,0,0,13,13,13,0,0,0,73,1,73,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,74,74,74,1,DEDO CON RELLENO DE PIÑA Y AZUCAR GLASS,1.-PAN,1.-PAN,,,,1,1,0,9,0,0,0,0,9,9,9,0,0,0,74,1,74,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,75,75,75,1,DEDO CON RELLENO DE ZARZAMORA Y CHOCOLATE,1.-PAN,1.-PAN,,,,1,1,0,9,0,0,0,0,9,9,9,0,0,0,75,1,75,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
3,3.-C - D,76,76,76,1,DELICIOSA,1.-PAN,1.-PAN,,,,1,1,0,8,0,0,0,0,8,8,8,0,0,0,76,1,76,0,Activo,MXN.-MONEDA NACIONAL,,,,50181900,H87,16,2
